ラベル用備考,ラベル発行枚数,リテスト延長使用期限,リテスト試験日数,使用剤形,使用期限表示,保障期間,公差使用,分類,単価,原料ID,原料コード,原料区分,原料名,原料簿コード（サブ）,原料簿コード（メイン）,原産国表示,受入試験後使用期限,品質管理備考,商品名,商品名カナ,在庫単位（係数）,変更申請／変更指示,差分警告割合,正袋秤量,正袋重量,生産本部備考,画像パス,発注単位,荷姿,補正情報,製造所,規格,調達区分,販売者,風袋重量,,
,1 枚,12 ヵ月,14 日,錠剤,表示なし,―,する,その他,"2,120",117,A2108,通常,カルメロースナトリウム,（未設定）,084 : カルメロースナトリウム1160（＝ＣＭＣ1160 ）　 ／ 食添 ／ ダイセル化学工業㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,CMCダイセル1160,ｼｰｴﾑｼｰﾀﾞｲｾﾙｲﾁｲﾁﾛｸｾﾞﾛ,g（1）,,1％,可能,25kg,,images\117.jpg,kg,25kg,,ダイセル化学工業㈱,日局,購買,日本バルク薬品㈱,0.4kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,メーカー保証1年,する,その他,383,118,F0039,通常,還元麦芽糖水飴(75%),（未設定）,347 : マルビット　75％ ／ ？食品？食添 ／ 物産フードサイエンス㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,マルビット (濃度75%),ﾏﾙﾋﾞﾂﾄ,g（1）,,1％,可能,24kg,【原産国表示対象】還元麦芽糖水飴、原産国(表示内容):国内製造,images\118.jpg,kg,24kg,,物産フードサイエンス㈱,食品メーカー規格,購買,日本バルク薬品㈱,1.17kg,,
,1 枚,12 ヵ月,14 日,錠剤,表示なし,,する,その他,"1,400",119,A4106,通常,タルク(ビクトリライトSK-C),（未設定）,（未設定）,,12 ヵ月,,ビクトリライト SK-C,ﾋﾞｸﾄﾘﾗｲﾄ ｴｽｹｲｼｰ,g（1）,,1％,可能,5kg,1回の発注は、100kg以上,,kg,5kg,,㈱勝光山鉱業所,日局,購買,日本バルク薬品㈱,0.355kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,700,12,F0082,通常,L-アスコルビン酸,（未設定）,001 : Ｌ-アスコルビン酸（食添） ／ 食添 ／ 東北制葯有限公司 ／ 日本バルク薬品㈱,,12 ヵ月,,食品添加物 L-アスコルビン酸,ｼﾖｸﾋﾝﾃﾝｶﾌﾞﾂ ｴﾙｱｽｺﾙﾋﾞﾝｻﾝ,g（1）,,1％,可能,25kg,,images\12.jpg,kg,25kg,,東北制葯有限公司(日本バルク薬品㈱),食添,購買,日本バルク薬品㈱,0.33kg,,
,2 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"6,300",121,C2107,通常,カンゾウエキス,（未設定）,085 : カンゾウエキス-L ／ 日局 ／ 日本粉末薬品㈱ ／ 日本粉末薬品㈱,,12 ヵ月,,カンゾウエキス(カンゾウエキス-L),ｶﾝｿﾞｳｴｷｽｴﾙ,g（1）,,1％,可能,10kg,「グリチルリチン酸含有率5.7%以下」指定購入すること。,images\121.jpg,kg,10kg,,日本粉末薬品㈱,日局,購買,日本粉末薬品㈱,0.85kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,製造後3年,する,主薬,"9,800",123,F0132,通常,肝臓加水分解物,（未設定）,089 : 肝臓加水分解物FL-N ／ 食品用 ／ 日水製薬㈱ ／ 興和(株)食品部,,12 ヵ月,2018/8/21よりFL→FL-N,肝臓加水分解物 FL-N,ｶﾝｿﾞｳｶｽｲﾌﾞﾝｶｲﾌﾞﾂ ｴﾌｴﾙ ｴﾇ,g（1）,,1％,可能,5kg,15kg(5kg×3),images\123.jpg,kg,15kg,,健創製薬㈱,食品メーカー規格,購買,興和㈱食品事業部,0.13kg,,
,1 枚,12 ヵ月,14 日,坐剤,表示なし,,する,その他,"3,400",124,A3313,通常,スクワラン(SQUALANE),（未設定）,（未設定）,,12 ヵ月,,SQUALANE(スクワラン),ｽｸﾜﾗﾝ,g（1）,,1％,可能,15kg,受入試験:1ヶ月ジーフォーL、自社調達原産国:日本,images\124.jpg,kg,15kg,,㈱岸本,別紙規格,購買,日本バルク薬品㈱,1.15kg,,
,2 枚,12 ヵ月,14 日,錠剤,表示なし,製造後3年(未開封),する,主薬,"1,210",125,C2105,通常,カンゾウ末,（未設定）,087 : カンゾウ末 ／ 日局 ／ 松浦薬業㈱ ／ 松浦薬業㈱,,12 ヵ月,,カンゾウ末,ｶﾝｿﾞｳﾏﾂ,g（1）,,1％,可能,10kg,納期3～4ヶ月かかる。早めに発注。【変更22-016】松浦薬業製「日局カンゾウ末」粉砕工程製造所の変更(2022.9.21入荷),images\125.jpg,kg,10kg,,㈱前忠,日局,購買,松浦薬業㈱,0.07kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"1,000",127,C7502,通常,木香エキス,（未設定）,370 : モッコウエキス ／  ／ 日本粉末薬品㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,木香エキス,ﾓﾂｺｳｴｷｽ,g（1）,,1％,可能,1kg,,images\127.jpg,kg,1kg,,日本粉末薬品㈱,別紙規格,購買,日本バルク薬品㈱,0.075kg,,
,2 枚,12 ヵ月,14 日,錠剤,表示なし,製造後3年(未開封),する,主薬,"2,300",128,C2201,通常,キキョウ末,（未設定）,094 : キキョウ末 ／ 日局 ／ 松浦薬業㈱ ／ 松浦薬業㈱,,12 ヵ月,,キキョウ末,ｷｷﾖｳﾏﾂ,g（1）,,1％,可能,10kg,納期3～4ヶ月かかる。早めに発注。終売(2022.10最終入荷),images\128.jpg,kg,10kg,,松浦薬業㈱,日局,購買,松浦薬業㈱,0.07kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,865,129,F0100,通常,強力サンプレザーN3,（未設定）,097 : 強力サンプレザーN-3 ／  ／ 三栄源エフ・エフ・アイ㈱ ／ 興和㈱,,12 ヵ月,,強力サンプレザー N-3,ｷﾖｳﾘﾖｸｻﾝﾌﾟﾚｻﾞｰ ｴﾇｻﾝ,g（1）,,1％,可能,10kg,【比重】規格:1.080～1.120、実績平均値:1.094,images\129.jpg,kg,10kg,,三栄源エフ・エフ・アイ㈱,食品メーカー規格,購買,興和㈱食品事業部,0.12kg,,
,2 枚,12 ヵ月,14 日,液剤,リテスト,―,する,主薬,"6,800",130,A2301,通常,グアイフェネシン,（未設定）,098 : グアイフェネシン ／ 日局 ／ 岩城製薬㈱ ／ イワキ㈱,,12 ヵ月,,グアイフェネシン,ｸﾞｱｲﾌｴﾈｼﾝ,g（1）,,1％,可能,50kg,グアイフェネシンの前駆体、グアヤコールの安定供給を目的として、Delta社にて原料のセカンドソース・サードソースを追加。ルート確認。2023年01月01日製造メーカーロットより、製造連番付番方法変更終売予定(2024.2.27スペラネクサスより連絡あり)→代替品は浜理薬品工業 単価6800円(スペラネクサス品は浜理品の小分け製造)スペラネクサス株式会社が小分けを取りやめるため、小分け元の浜理PFSTから購入する。2026年度までエフストリンは浜理品からDELTA品には変えない。,images\130.jpg,kg,50kg,,浜理PFST㈱,日局,購買,日本バルク薬品㈱,0.05kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,製造後5年保証,する,その他,500,131,F0091,通常,クエン酸(結晶),（未設定）,100 : クエン酸水和物（食添） ／ 食添 ／ 扶桑化学工業㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,精製クエン酸(結晶),ｾｲｾｲｸｴﾝｻﾝ ｹﾂｼﾖｳ,g（1）,,1％,可能,25kg,結晶は水和物。,,kg,25kg,,扶桑化学工業㈱,食添,購買,日本バルク薬品㈱,0.265kg,,
,1 枚,12 ヵ月,14 日,液剤/外用液,使用期限,製造後5年保証,する,その他,490,132,F0006,通常,クエン酸(無水),（未設定）,359 : 無水クエン酸（食添） ／ 食添 ／ 扶桑化学工業㈱ ／ 不二化学薬品㈱,,12 ヵ月,,精製クエン酸(無水)(TYPE:M),ｾｲｾｲｸｴﾝｻﾝ.ﾑｽｲ..ﾀｲﾌﾟM.,g（1）,,1％,可能,25kg,,images\132.jpg,kg,25kg,,扶桑化学工業㈱,食添,購買,不二化学薬品㈱,0.265kg,,
,1 枚,12 ヵ月,14 日,液剤/外用液/注入軟膏/クリーム剤/錠剤,表示なし,―,する,その他,705,133,A2303,通常,クエン酸水和物,（未設定）,099 : クエン酸水和物 ／ 日局 ／ 昭和化工㈱南さつま工場 ／ イワキ㈱,,12 ヵ月,,クエン酸水和物,ｸｴﾝｻﾝｽｲﾜﾌﾞﾂ,g（1）,,1％,可能,25kg,注文書に「プラパレで納品希望」と記載する。,images\133.jpg,kg,25kg,,昭和化工㈱(南さつま工場),日局,購買,スペラネクサス㈱,0.36kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"3,000",134,F0037,通常,クエン酸第一鉄ナトリウム,（未設定）,102 : サンフェロール　　（＝クエン酸第一鉄ナトリウム） ／ 食添 ／ サンノーバ㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,サンフェロール,ｻﾝﾌｴﾛｰﾙ,g（1）,,1％,可能,10kg,クエン酸第一鉄ナトリウム,images\134.jpg,kg,10kg,,サンノーバ,食添,購買,日本バルク薬品㈱,0.34kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,未開封5年,する,その他,500,135,F0097,通常,クエン酸ナトリウム,（未設定）,104 : クエン酸ナトリウム（食添） ／ 食添 ／ 扶桑化学工業㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,精製クエン酸ナトリウム(TYPE:M),ｾｲｾｲｸｴﾝｻﾝﾅﾄﾘｳﾑ.ﾀｲﾌﾟM.,g（1）,,1％,可能,25kg,,images\135.jpg,kg,25kg,,扶桑化学工業㈱,食添,購買,日本バルク薬品㈱,0.265kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,その他,815,136,A2304,通常,クエン酸ナトリウム水和物,（未設定）,103 : クエン酸ナトリウム(日局) ／ 日局 ／ 昭和化工㈱南さつま工場 ／ イワキ㈱,,12 ヵ月,,クエン酸ナトリウム水和物,ｸｴﾝｻﾝﾅﾄﾘｳﾑｽｲﾜﾌﾞﾂ,g（1）,,1％,可能,25kg,注文書に「プラパレで納品希望」と記載する。,images\136.jpg,kg,25kg,,昭和化工㈱(南さつま工場),日局,購買,スペラネクサス㈱,0.36kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"4,000",137,C2301,通常,クコシ流エキス,（未設定）,441 : クコシ流エキス-Ａ ／  ／ 日本粉末薬品(株) ／ 日本粉末薬品㈱,,12 ヵ月,,クコシ流エキス-A,ｸｺｼﾘﾕｳｴｷｽｴｰ,g（1）,,1％,可能,10kg,ゆめぽりす工場使用無し。みどりヶ丘工場使用中。【比重】実績平均値:1.021,,kg,10kg,,日本粉末薬品㈱,別紙規格,購買,日本粉末薬品㈱,0.75kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"2,730",139,A2315,通常,グリシン,（未設定）,435 : グリシン（日局） ／ 日局 ／ 味の素 ／ 日本バルク薬品㈱,,12 ヵ月,,グリシン,ｸﾞﾘｼﾝ,g（1）,,1％,可能,25kg,【21-088/緑21-016】味の素「グリシン」荷姿変更(ファイバードラム、25kg梱包へ変更)2022.3.23入荷分～,images\139.jpg,kg,25kg,,味の素㈱,日局,購買,日本バルク薬品㈱,0.24kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"3,830",14,F0084,通常,L-アスパラギン酸,（未設定）,003 : L-アスパラギン酸 ／ 日局 ／ 味の素㈱ ／ 日本バルク薬品㈱,,12 ヵ月,日局品入荷→食添として受入,L-アスパラギン酸,ｴﾙｱｽﾊﾟﾗｷﾞﾝｻﾝ,g（1）,,1％,可能,20kg,L-アスパラギン酸(L-ASPAPTIC ACID)日局品を発注、食添として受入れ試験,,kg,20kg,,味の素㈱,食添,購買,日本バルク薬品㈱,0.13kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,,する,主薬,0,140,F0179,通常,玉泉六草末,（未設定）,（未設定）,,12 ヵ月,,玉泉六草末,ｷﾞﾖｸｾﾝﾛｸｿｳﾏﾂ,g（1）,,1％,可能,25kg,,images\140.jpg,kg,25kg,,㈱中原,食品メーカー規格,支給,日本製薬工業㈱,0.181kg,,
,1 枚,12 ヵ月,14 日,液剤/クリーム剤/外用液,表示なし,納入後3か月保証,する,その他,435,141,A2308,通常,グリセリン,（未設定）,109 : グリセリン（日局） ／ 日局 ／ 阪本薬品工業㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,日本薬局方 グリセリン,ﾆﾎﾝﾔﾂｷﾖｸﾎｳ ｸﾞﾘｾﾘﾝ,g（1）,,1％,可能,22kg,【22-025】製造設備及び由来原料の変更・メーカーロット附番方法変更2023.6.22入荷,images\141.jpg,kg,22kg,,阪本薬品工業㈱,日局,購買,日本バルク薬品㈱,1.25kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,製造後1年,する,その他,"2,800",142,F0137,通常,グリセリン脂肪酸エステル,（未設定）,107 : グリスターMCA750 ／  ／ 阪本薬品工業 ／ 日本バルク薬品㈱,,12 ヵ月,,SYグリスター MCA-750,ｴｽﾜｲｸﾞﾘｽﾀｰ ｴﾑｼｰｴｰﾅﾅﾋﾔｸｺﾞｼﾞﾕｳ,g（1）,,1％,可能,16kg,,images\142.jpg,kg,16kg,,阪本薬品工業㈱,食添,購買,日本バルク薬品㈱,1.25kg,,
,2 枚,12 ヵ月,14 日,液剤/外用液,表示なし,―,する,主薬,"28,500",143,A2306,通常,グリチルリチン酸二カリウム,（未設定）,110 : グリチルリチン酸二カリウム ／ 局外規 ／ 丸善製薬㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,グリチルリチン酸二カリウム,ｸﾞﾘﾁﾙﾘﾁﾝｻﾝｼﾞｶﾘｳﾑ,g（1）,,1％,可能,1kg,,images\143.jpg,kg,1kg,水分**%,丸善製薬㈱,局外規,購買,日本バルク薬品㈱,0.02kg,,
,1 枚,12 ヵ月,14 日,坐剤/軟膏/注入軟膏/クリーム剤/外用剤,使用期限,―,する,主薬,"59,000",145,A2316,通常,グリチルレチン酸,（未設定）,481 : グリチルレチン酸（アルプス）微粉 ／  ／ アルプス薬品工業㈱ ／ 金剛薬品㈱,,12 ヵ月,,グリチルレチン酸,ｸﾞﾘﾁﾙﾚﾁﾝｻﾝ,g（1）,【変更22-250】アルプス薬品工業製グリチルレチン酸 製造所変更,1％,可能,1kg,微粉変更前品最終入荷2023.5.26、以降変更品,images\145.jpg,kg,1kg,,アルプス薬品工業㈱,局外規,購買,金剛薬品㈱,0.73kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,製造後1年,する,主薬,"33,500",147,F0144,通常,クルクミン HJK-4515,（未設定）,439 : クルクミンHJK-4515 ／  ／ 稲畑香料 ／ 三星製薬?興和（食）,,12 ヵ月,クルクミノイド90%FJから変更,クルクミン HJK-4515,ｸﾙｸﾐﾝ ｴｲﾁｼﾞｴｰｹｰﾖﾝｺﾞｲﾁｺﾞ,g（1）,,1％,可能,5kg,ウコン抽出物,images\147.jpg,kg,5kg,,稲畑香料㈱,食品メーカー規格,購買,興和㈱食品事業部,0.08kg,,
,2 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"1,850",148,F0092,通常,グルコン酸亜鉛,（未設定）,114 : グルコン酸亜鉛 ／ 食添 ／ 富田製薬㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,グルコン酸亜鉛,ｸﾞﾙｺﾝｻﾝｱｴﾝ,g（1）,,1％,可能,10kg,2021年8月メーカー製造分より、原料試験様式変更,images\148.jpg,kg,10kg,,富田製薬㈱,食添,購買,日本バルク薬品㈱,0.195kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,メーカー保証3年,する,主薬,"4,250",15,A1106,通常,L-アスパラギン酸マグネシウム・カリウム,（未設定）,004 : Ｌ-アスパラギン酸Ｋ．Ｍｇ ／  ／ アルプス薬品工業㈱ ／ 不二化学薬品㈱,,12 ヵ月,2016/7/25より日生化学工業所からアルプス薬品工業㈱に変更,L-アスパラギン酸マグネシウム・カリウム,ｴﾙｱｽﾊﾟﾗｷﾞﾝｻﾝﾏｸﾞﾈｼｳﾑ・ｶﾘｳﾑ,g（1）,,1％,可能,10kg,上流製造所の商流変更品はメーカーロット22L098(現時点未入荷)から。変更連絡22-118「L-アスパラギン酸マグネシウム・カリウム」 メーカーでの商品名変更(2022.9.16初回入荷),images\15.jpg,kg,10kg,乾燥減量**%,アルプス薬品工業㈱,別紙規格,購買,不二化学薬品㈱,0.25kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"6,850",151,B2305,通常,グレープフルーツフレーバー №20-3702,（未設定）,626 : グレープフルーツフレーバー20-3702 ／  ／ 三栄源エフ・エフ・アイ㈱ ／ イワキ㈱,,12 ヵ月,グレープフツーツフレーバー61197 代替品,グレープフルーツフレーバー №20-3702,ｸﾞﾚｰﾌﾟﾌﾙｰﾂﾌﾚｰﾊﾞｰ ﾅﾝﾊﾞｰﾆｰｾﾞﾛｻﾝﾅﾅｾﾞﾛﾆｰ,g（1）,,1％,可能,1kg,「受注生産、納期1ヶ月」【比重】規格:0.982～1.012、実績平均値:0.9986発注単位10Kgから,images\151.jpg,kg,1kg,,三栄源エフ・エフ・アイ㈱,香料,購買,スペラネクサス㈱,0.15kg,,
,1 枚,12 ヵ月,14 日,液剤/錠剤,表示なし,―,する,その他,"43,000",152,K0015,通常,グレープフルーツフレーバー 72-501,（未設定）,118 : グレープフルーツフレーバー72-501 ／ 食添 ／ 豊玉香料㈱ ／ 興和㈱,,12 ヵ月,,グレープフルーツフレーバー 72-501,ｸﾞﾚｰﾌﾟﾌﾙｰﾂﾌﾚｰﾊﾞｰﾅﾅﾆｺﾞｾﾞﾛｲﾁ,g（1）,,1％,可能,1kg,【比重】規格:0.845～0.865、実績平均値:0.8541,images\152.jpg,kg,1kg,,豊玉香料㈱,香料,購買,興和㈱化学素材部 機能材料課,0.75kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,その他,"10,900",153,K0020,通常,グレープフルーツフレーバー FL32558,（未設定）,119 : グレープフルーツフレーバーＦＬ32558 ／  ／ 小川香料 ／ 日本バルク薬品㈱,,12 ヵ月,,グレープフルーツフレーバー FL32558,ｸﾞﾚｰﾌﾟﾌﾙｰﾂﾌﾚｰﾊﾞｰ ｴﾌｴﾙｻﾝﾆｺﾞｺﾞﾊﾁ,g（1）,,1％,可能,0.9kg,終売最低発注数量:0.9kg×6(【比重】規格:0.793～0.813、実績平均値:0.803,images\153.jpg,kg,0.9kg,,小川香料㈱,香料,購買,日本バルク薬品㈱,0.63kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"11,400",154,F0048,通常,グレープフレーバー BL-43316,（未設定）,120 : グレープフレーバーＢＬ-43316 ／ 食添 ／ 小川香料㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,グレープフレーバー BL43316,ｸﾞﾚｰﾌﾟﾌﾚｰﾊﾞｰ ﾋﾞｰｴﾙﾖﾝｻﾝｻﾝｲﾁﾛｸ,g（1）,,1％,可能,1kg,(kg入荷、L使用、【比重】規格:0.907～0.927、実績平均値:0.917)6kg(1kg×6)で発注,images\154.jpg,kg,1kg,,小川香料㈱,香料,購買,日本バルク薬品㈱,0.63kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,3年,する,主薬,"5,000",157,A6137,通常,L-バリン,（未設定）,（未設定）,,12 ヵ月,,L-バリン(サンクト),ｴﾙﾊﾞﾘﾝ.ｻﾝｸﾄ.,g（1）,【20-043】セロラBBローヤルαのアミノ酸変更,1％,可能,25kg,,images\157.jpg,kg,25kg,,㈱サンクト,日局,購買,㈱サンクト,2.2kg,,
,2 枚,12 ヵ月,14 日,坐剤/軟膏/錠剤(ベリコン咳止め錠),使用期限,メーカー保証3年,する,主薬,"23,400",158,A7106,通常,クロルフェニラミンマレイン酸塩,（未設定）,126 : dl-クロルフェニラミンマレイン酸塩（粉砕品） ／ 日局 ／ 金剛化学㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,クロルフェニラミンマレイン酸塩 粉砕品,ｸﾛﾙﾌｴﾆﾗﾐﾝﾏﾚｲﾝｻﾝｴﾝ ﾌﾝｻｲﾋﾝ,g（1）,,1％,可能,1kg,荷姿:1kgdl-クロルフェニラミンマレイン酸塩(粉砕品),images\158.jpg,kg,1kg,,金剛化学㈱,日局,購買,日本バルク薬品㈱,0.05kg,,
