工場,製品ID,パターン,製品名,販売先,原料CD,原料名,製造所,補正区分,配合量(kg),秤量区分,秤量場所,投入G番号,投入G名称,使用状況,備考
ゆめが丘工場,117,5,ミコナック液,自社,465,リドカイン(DELTA),DELTA,通常,3.75,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,117,5,ミコナック液,自社,495,クロタミトン,住友化学㈱,通常,15,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,117,5,ミコナック液,自社,548,95度一般エタノール(発酵),コニシ㈱,通常,89.693,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,125,1,ザッスルエース軟膏,自社,158,クロルフェニラミンマレイン酸塩 粉砕品,金剛化学㈱,通常,0.4532,前添,えき工場2F,1,,使用終了,(使用終了)旧
ゆめが丘工場,125,1,ザッスルエース軟膏,自社,195,ゴールデンブランド(サラシミツロウ ),三木化学工業㈱,通常,11,前添,えき工場2F,1,,使用終了,(使用終了)旧
ゆめが丘工場,125,1,ザッスルエース軟膏,自社,198,酸化亜鉛,九州白水㈱,通常,8.8,前添,えき工場2F,1,,使用終了,(使用終了)旧
ゆめが丘工場,125,1,ザッスルエース軟膏,自社,266,SO-15MV(日本薬局方:ソルビタンセスキオレイン酸エステル),日本サーファクタント工業㈱,通常,4.4,前添,えき工場2F,1,,使用終了,(使用終了)旧
ゆめが丘工場,125,1,ザッスルエース軟膏,自社,297,（使用終了）トコフェロール酢酸エステル,三菱ケミカル㈱,通常,6.93,前添,えき工場2F,1,,使用終了,(使用終了)旧
ゆめが丘工場,125,1,ザッスルエース軟膏,自社,315,MIGLYOL 812N  中性油,綿半トレーディング㈱,通常,37.4,前添,えき工場2F,1,,使用終了,(使用終了)旧
ゆめが丘工場,125,1,ザッスルエース軟膏,自社,355,白色ワセリン,小城製薬㈱,通常,136.213,前添,えき工場2F,1,,使用終了,(使用終了)旧
ゆめが丘工場,125,1,ザッスルエース軟膏,自社,359,（使用終了）ハッカ油,小城製薬㈱,通常,0.1628,前添,えき工場2F,1,,使用終了,(使用終了)旧
ゆめが丘工場,125,1,ザッスルエース軟膏,自社,368,パラフィン蝋 140,日本精蝋㈱,通常,4.4,前添,えき工場2F,1,,使用終了,(使用終了)旧
ゆめが丘工場,125,1,ザッスルエース軟膏,自社,386,ヒドロコルチゾン酢酸エステル,Henan Lihua,通常,1.155,前添,えき工場2F,1,,使用終了,(使用終了)旧
ゆめが丘工場,125,1,ザッスルエース軟膏,自社,465,リドカイン(DELTA),DELTA,通常,6.6,前添,えき工場2F,1,,使用終了,(使用終了)旧
ゆめが丘工場,125,1,ザッスルエース軟膏,自社,49,アラントイン(パーマケム・アジア),㈱パーマケム・アジア,通常,2.266,前添,えき工場2F,1,,使用終了,(使用終了)旧
ゆめが丘工場,125,1,ザッスルエース軟膏,自社,58,イソプロピルメチルフェノール(化学品名:O-シメン-5-オール),大阪化成㈱,通常,0.22,前添,えき工場2F,1,,使用終了,(使用終了)旧
ゆめが丘工場,125,2,ザッスルエース軟膏,自社,158,クロルフェニラミンマレイン酸塩 粉砕品,金剛化学㈱,通常,0.4532,前添,えき工場2F,1,,使用終了,(使用終了)トコフェロール新メーカー(NHU)
ゆめが丘工場,125,2,ザッスルエース軟膏,自社,195,ゴールデンブランド(サラシミツロウ ),三木化学工業㈱,通常,11,前添,えき工場2F,1,,使用終了,(使用終了)トコフェロール新メーカー(NHU)
ゆめが丘工場,125,2,ザッスルエース軟膏,自社,198,酸化亜鉛,九州白水㈱,通常,8.8,前添,えき工場2F,1,,使用終了,(使用終了)トコフェロール新メーカー(NHU)
ゆめが丘工場,125,2,ザッスルエース軟膏,自社,266,SO-15MV(日本薬局方:ソルビタンセスキオレイン酸エステル),日本サーファクタント工業㈱,通常,4.4,前添,えき工場2F,1,,使用終了,(使用終了)トコフェロール新メーカー(NHU)
ゆめが丘工場,125,2,ザッスルエース軟膏,自社,315,MIGLYOL 812N  中性油,綿半トレーディング㈱,通常,37.4,前添,えき工場2F,1,,使用終了,(使用終了)トコフェロール新メーカー(NHU)
ゆめが丘工場,125,2,ザッスルエース軟膏,自社,355,白色ワセリン,小城製薬㈱,通常,136.213,前添,えき工場2F,1,,使用終了,(使用終了)トコフェロール新メーカー(NHU)
ゆめが丘工場,125,2,ザッスルエース軟膏,自社,359,（使用終了）ハッカ油,小城製薬㈱,通常,0.1628,前添,えき工場2F,1,,使用終了,(使用終了)トコフェロール新メーカー(NHU)
ゆめが丘工場,125,2,ザッスルエース軟膏,自社,368,パラフィン蝋 140,日本精蝋㈱,通常,4.4,前添,えき工場2F,1,,使用終了,(使用終了)トコフェロール新メーカー(NHU)
ゆめが丘工場,125,2,ザッスルエース軟膏,自社,386,ヒドロコルチゾン酢酸エステル,Henan Lihua,通常,1.155,前添,えき工場2F,1,,使用終了,(使用終了)トコフェロール新メーカー(NHU)
ゆめが丘工場,125,2,ザッスルエース軟膏,自社,465,リドカイン(DELTA),DELTA,通常,6.6,前添,えき工場2F,1,,使用終了,(使用終了)トコフェロール新メーカー(NHU)
ゆめが丘工場,125,2,ザッスルエース軟膏,自社,50,アラントイン,川研ファインケミカル㈱,通常,2.266,前添,えき工場2F,1,,使用終了,(使用終了)トコフェロール新メーカー(NHU)
ゆめが丘工場,125,2,ザッスルエース軟膏,自社,58,イソプロピルメチルフェノール(化学品名:O-シメン-5-オール),大阪化成㈱,通常,0.22,前添,えき工場2F,1,,使用終了,(使用終了)トコフェロール新メーカー(NHU)
ゆめが丘工場,125,2,ザッスルエース軟膏,自社,679,トコフェロール酢酸エステル(三菱ケミカル),三菱ケミカル㈱(NHU),補正対象,6.93,前添,えき工場2F,1,,使用終了,(使用終了)トコフェロール新メーカー(NHU)
ゆめが丘工場,125,3,ザッスルエース軟膏,自社,158,クロルフェニラミンマレイン酸塩 粉砕品,金剛化学㈱,通常,0.4532,前添,えき工場2F,1,,使用中,【品証チェック済】ハッカ油(鈴木薄荷)メーカー変更
ゆめが丘工場,125,3,ザッスルエース軟膏,自社,195,ゴールデンブランド(サラシミツロウ ),三木化学工業㈱,通常,11,前添,えき工場2F,1,,使用中,【品証チェック済】ハッカ油(鈴木薄荷)メーカー変更
ゆめが丘工場,125,3,ザッスルエース軟膏,自社,198,酸化亜鉛,九州白水㈱,通常,8.8,前添,えき工場2F,1,,使用中,【品証チェック済】ハッカ油(鈴木薄荷)メーカー変更
ゆめが丘工場,125,3,ザッスルエース軟膏,自社,266,SO-15MV(日本薬局方:ソルビタンセスキオレイン酸エステル),日本サーファクタント工業㈱,通常,4.4,前添,えき工場2F,1,,使用中,【品証チェック済】ハッカ油(鈴木薄荷)メーカー変更
ゆめが丘工場,125,3,ザッスルエース軟膏,自社,315,MIGLYOL 812N  中性油,綿半トレーディング㈱,通常,37.4,前添,えき工場2F,1,,使用中,【品証チェック済】ハッカ油(鈴木薄荷)メーカー変更
ゆめが丘工場,125,3,ザッスルエース軟膏,自社,355,白色ワセリン,小城製薬㈱,通常,136.213,前添,えき工場2F,1,端数,使用中,【品証チェック済】ハッカ油(鈴木薄荷)メーカー変更
ゆめが丘工場,125,3,ザッスルエース軟膏,自社,368,パラフィン蝋 140,日本精蝋㈱,通常,4.4,前添,えき工場2F,1,,使用中,【品証チェック済】ハッカ油(鈴木薄荷)メーカー変更
ゆめが丘工場,125,3,ザッスルエース軟膏,自社,386,ヒドロコルチゾン酢酸エステル,Henan Lihua,通常,1.155,前添,えき工場2F,1,,使用中,【品証チェック済】ハッカ油(鈴木薄荷)メーカー変更
ゆめが丘工場,125,3,ザッスルエース軟膏,自社,465,リドカイン(DELTA),DELTA,通常,6.6,前添,えき工場2F,1,,使用中,【品証チェック済】ハッカ油(鈴木薄荷)メーカー変更
ゆめが丘工場,125,3,ザッスルエース軟膏,自社,50,アラントイン,川研ファインケミカル㈱,通常,2.266,前添,えき工場2F,1,,使用中,【品証チェック済】ハッカ油(鈴木薄荷)メーカー変更
ゆめが丘工場,125,3,ザッスルエース軟膏,自社,58,イソプロピルメチルフェノール(化学品名:O-シメン-5-オール),大阪化成㈱,通常,0.22,前添,えき工場2F,1,,使用中,【品証チェック済】ハッカ油(鈴木薄荷)メーカー変更
ゆめが丘工場,125,3,ザッスルエース軟膏,自社,651,ハッカ油,鈴木薄荷㈱,通常,0.1628,前添,えき工場2F,1,,使用中,【品証チェック済】ハッカ油(鈴木薄荷)メーカー変更
ゆめが丘工場,125,3,ザッスルエース軟膏,自社,679,トコフェロール酢酸エステル(三菱ケミカル),三菱ケミカル㈱(NHU),通常,6.93,前添,えき工場2F,1,,使用中,【品証チェック済】ハッカ油(鈴木薄荷)メーカー変更
ゆめが丘工場,125,4,ザッスルエース軟膏,自社,158,クロルフェニラミンマレイン酸塩 粉砕品,金剛化学㈱,通常,0.4532,前添,えき工場2F,1,,使用中,【品証チェック済】サンホワイト(P-150)
ゆめが丘工場,125,4,ザッスルエース軟膏,自社,195,ゴールデンブランド(サラシミツロウ ),三木化学工業㈱,通常,11,前添,えき工場2F,1,,使用中,【品証チェック済】サンホワイト(P-150)
ゆめが丘工場,125,4,ザッスルエース軟膏,自社,198,酸化亜鉛,九州白水㈱,通常,8.8,前添,えき工場2F,1,,使用中,【品証チェック済】サンホワイト(P-150)
ゆめが丘工場,125,4,ザッスルエース軟膏,自社,266,SO-15MV(日本薬局方:ソルビタンセスキオレイン酸エステル),日本サーファクタント工業㈱,通常,4.4,前添,えき工場2F,1,,使用中,【品証チェック済】サンホワイト(P-150)
ゆめが丘工場,125,4,ザッスルエース軟膏,自社,315,MIGLYOL 812N  中性油,綿半トレーディング㈱,通常,37.4,前添,えき工場2F,1,,使用中,【品証チェック済】サンホワイト(P-150)
ゆめが丘工場,125,4,ザッスルエース軟膏,自社,368,パラフィン蝋 140,日本精蝋㈱,通常,4.4,前添,えき工場2F,1,,使用中,【品証チェック済】サンホワイト(P-150)
ゆめが丘工場,125,4,ザッスルエース軟膏,自社,386,ヒドロコルチゾン酢酸エステル,Henan Lihua,通常,1.155,前添,えき工場2F,1,,使用中,【品証チェック済】サンホワイト(P-150)
ゆめが丘工場,125,4,ザッスルエース軟膏,自社,465,リドカイン(DELTA),DELTA,通常,6.6,前添,えき工場2F,1,,使用中,【品証チェック済】サンホワイト(P-150)
ゆめが丘工場,125,4,ザッスルエース軟膏,自社,50,アラントイン,川研ファインケミカル㈱,通常,2.266,前添,えき工場2F,1,,使用中,【品証チェック済】サンホワイト(P-150)
ゆめが丘工場,125,4,ザッスルエース軟膏,自社,58,イソプロピルメチルフェノール(化学品名:O-シメン-5-オール),大阪化成㈱,通常,0.22,前添,えき工場2F,1,,使用中,【品証チェック済】サンホワイト(P-150)
ゆめが丘工場,125,4,ザッスルエース軟膏,自社,651,ハッカ油,鈴木薄荷㈱,通常,0.1628,前添,えき工場2F,1,,使用中,【品証チェック済】サンホワイト(P-150)
ゆめが丘工場,125,4,ザッスルエース軟膏,自社,679,トコフェロール酢酸エステル(三菱ケミカル),三菱ケミカル㈱(NHU),通常,6.93,前添,えき工場2F,1,,使用中,【品証チェック済】サンホワイト(P-150)
ゆめが丘工場,125,4,ザッスルエース軟膏,自社,774,サンホワイト(P-150),日興リカ㈱,通常,136.213,前添,ひかり工場,1,,使用中,【品証チェック済】サンホワイト(P-150)
ゆめが丘工場,125,5,ザッスルエース軟膏,自社,158,クロルフェニラミンマレイン酸塩 粉砕品,金剛化学㈱,通常,0.4532,前添,えき工場2F,1,,使用中,【品証チェック済】スノーV
